Ensembl	Mock1_Qun	Mock2_Qun	Mock3_Qun	NT1_Qun	NT2_Qun	NT3_Qun	T1_Qun	T2_Qun	T3_Qun
ENSG00000280317	0	0	0	0	0	0	0	0	1
ENSG00000162415	236	202	188	180	161	152	295	229	266
ENSG00000162600	607	320	680	506	481	585	783	596	660
ENSG00000116704	1150	741	1029	714	825	812	1266	1075	1148
ENSG00000157193	476	317	446	671	367	372	1309	483	545
ENSG00000116205	719	504	780	763	741	767	1745	1173	1190
ENSG00000198841	67	41	51	123	71	86	201	94	87
ENSG00000116212	432	295	417	300	269	358	482	338	370
ENSG00000234204	1	0	1	1	0	1	2	0	5
ENSG00000233099	1	1	0	2	3	0	1	1	2
ENSG00000233994	4	2	1	0	0	1	3	0	0
ENSG00000233973	25	24	37	9	28	20	24	19	22
ENSG00000132854	2	1	5	7	3	3	7	5	7
ENSG00000227556	2	1	2	0	4	7	3	1	0
ENSG00000162607	6717	4173	6082	3535	3357	3505	5603	4142	4345
ENSG00000285954	0	0	0	1	1	0	2	1	1
ENSG00000233333	5	1	4	8	11	3	12	12	13
ENSG00000154027	52	40	22	43	68	62	52	68	65
ENSG00000234108	0	0	0	0	0	0	0	0	0
ENSG00000232676	1	1	0	1	0	0	0	1	0
ENSG00000225167	2	1	0	1	0	0	0	0	1
ENSG00000213579	5	5	5	10	4	7	9	9	11
ENSG00000137960	26	11	5	31	62	54	47	50	57
ENSG00000237852	11	10	4	17	17	9	17	13	6
ENSG00000116745	3	3	3	19	12	15	17	15	20
ENSG00000132855	113	66	91	54	68	76	102	113	109
ENSG00000285407	5	4	15	9	7	16	25	10	14
ENSG00000270549	3	1	5	4	3	0	6	3	5
ENSG00000237163	0	0	1	6	11	4	4	7	3
ENSG00000229636	0	0	0	1	0	0	0	0	0
ENSG00000116675	612	408	578	353	281	314	552	316	337
ENSG00000162433	692	414	562	483	571	568	998	782	798
ENSG00000213625	491	334	665	288	328	325	537	469	515
ENSG00000227207	0	0	0	0	0	0	0	0	0
ENSG00000227016	2	0	3	1	4	3	2	2	2
ENSG00000233664	0	0	0	0	1	0	1	1	1
ENSG00000158966	1212	876	1072	662	645	665	1044	806	869
ENSG00000213703	10	11	5	6	7	6	10	8	12
ENSG00000203965	454	253	573	419	377	353	714	452	470
ENSG00000223479	0	0	0	0	0	0	0	0	0
ENSG00000233674	6	6	10	7	14	10	28	16	14
ENSG00000153898	301	166	289	229	230	227	445	266	250
ENSG00000117069	36	22	31	87	95	87	119	83	84
ENSG00000125703	763	432	838	775	670	644	1151	787	765
ENSG00000285041	1	2	2	0	3	1	2	5	2
ENSG00000285808	4	1	4	3	6	4	7	2	6
ENSG00000229440	0	0	0	1	1	0	1	0	0
ENSG00000234144	12	13	7	7	9	6	13	4	13
ENSG00000277670	0	0	0	0	0	0	0	0	0
ENSG00000227466	1	0	0	1	3	2	3	1	3
ENSG00000230498	28	13	18	35	31	52	54	52	44
ENSG00000285782	2	2	1	4	4	2	9	2	7
ENSG00000162618	1	0	1	1	1	3	0	3	0
ENSG00000224493	7	5	6	11	6	12	15	10	18
ENSG00000131233	2	1	5	4	5	5	16	4	7
ENSG00000272371	0	2	5	11	5	13	9	9	8
ENSG00000287647	0	0	0	8	3	7	6	13	5
ENSG00000229225	0	0	0	0	2	1	0	4	0
ENSG00000230863	5	9	9	18	20	31	24	30	41
ENSG00000225598	0	0	0	0	0	0	0	0	0
ENSG00000286455	1	1	0	5	5	8	4	4	7
ENSG00000225087	18	6	14	15	11	13	11	17	17
ENSG00000280378	5	14	13	9	18	10	25	10	16
ENSG00000230053	0	1	1	2	0	4	1	8	2
ENSG00000137941	1030	708	1170	422	484	449	745	613	660
ENSG00000224326	0	0	0	0	0	0	0	0	0
ENSG00000286548	10	15	23	54	31	34	76	35	52
ENSG00000066135	609	455	614	303	329	315	583	380	452
ENSG00000272094	13	7	2	13	18	17	10	16	19
ENSG00000228853	0	0	0	0	0	0	0	0	0
ENSG00000232453	3	1	5	16	52	48	19	30	27
ENSG00000260386	1	3	1	17	21	20	14	25	13
ENSG00000284895	0	0	0	0	0	0	0	0	0
ENSG00000117174	1107	691	858	697	725	771	1082	889	907
ENSG00000237413	29	26	24	42	33	47	45	45	53
ENSG00000184313	2	2	5	5	7	2	8	12	4
ENSG00000284645	0	2	0	10	13	27	17	26	21
ENSG00000225446	16	17	10	13	12	10	24	32	25
ENSG00000288543	3	0	4	11	12	19	9	6	16
ENSG00000122420	505	267	392	379	378	385	653	557	570
ENSG00000284240	5	10	0	12	16	21	13	14	12
ENSG00000236290	0	1	0	9	4	4	12	7	2
ENSG00000143013	500	349	401	237	325	314	441	410	362
ENSG00000226084	28	16	29	24	16	27	31	19	31
ENSG00000134748	869	600	776	479	504	491	894	709	783
ENSG00000142892	1517	714	1564	582	659	730	937	763	892
ENSG00000219102	2	0	1	3	6	6	3	10	3
ENSG00000287743	3	3	0	7	13	9	7	12	9
ENSG00000229332	0	0	0	0	0	0	1	0	1
ENSG00000227937	0	0	0	0	0	0	0	0	0
ENSG00000229752	0	0	0	0	0	1	0	1	0
ENSG00000237505	32	34	39	126	107	126	122	96	123
ENSG00000285462	0	0	0	0	0	0	0	0	0
ENSG00000233216	1	0	2	5	2	1	6	2	7
ENSG00000197273	2	2	0	2	2	1	3	4	4
ENSG00000226804	0	0	0	1	2	0	4	2	3
ENSG00000230728	0	0	0	0	0	1	3	1	1
ENSG00000232846	2	2	1	5	9	5	12	4	5
ENSG00000230787	2	0	0	0	1	0	0	2	2
ENSG00000116641	2922	2005	2369	1650	1701	1595	2798	2161	2231
ENSG00000237453	0	0	0	2	0	1	1	1	0
ENSG00000172260	18	12	17	34	20	34	33	35	32
ENSG00000285473	0	0	2	1	2	4	1	2	2
ENSG00000237959	1	1	0	5	2	3	0	1	5
ENSG00000231364	4	5	4	8	9	11	7	13	13
ENSG00000234578	0	0	0	1	0	1	0	0	0
ENSG00000137944	628	366	644	497	380	360	953	494	502
ENSG00000229505	1	0	0	2	2	0	0	2	0
ENSG00000228187	7	15	11	19	8	15	23	12	12
ENSG00000182183	4	7	3	52	26	35	83	43	48
ENSG00000236407	0	0	0	0	0	0	0	0	0
ENSG00000271949	0	0	0	0	0	0	0	0	0
ENSG00000227062	0	0	0	0	0	0	0	0	0
ENSG00000067334	2202	1480	2307	1403	1182	1272	2126	1652	1711
ENSG00000235011	0	0	0	0	0	0	0	0	0
ENSG00000226938	0	0	0	2	0	0	0	1	1
ENSG00000213559	0	0	1	1	0	0	0	0	0
ENSG00000287587	0	1	0	4	6	4	3	8	1
ENSG00000142949	1703	1467	1523	943	633	686	1988	1035	1201
ENSG00000116133	3300	2257	3188	629	769	863	1418	1303	1438
ENSG00000232882	13	13	7	8	12	13	14	19	23
ENSG00000171502	62	36	43	97	75	89	164	100	99
ENSG00000116157	4	2	2	25	9	9	24	12	12
ENSG00000143036	35	38	43	49	45	37	62	54	53
ENSG00000230817	15	15	25	36	38	36	49	38	45
ENSG00000065243	2972	1889	2793	1848	1698	1673	2974	2154	2199
ENSG00000226759	17	13	12	18	13	21	32	31	27
ENSG00000226960	0	0	0	2	5	3	1	3	12
ENSG00000234080	3	4	1	6	9	11	6	9	4
ENSG00000237899	2	0	3	4	10	17	14	27	8
ENSG00000227290	17	6	13	22	16	14	37	35	40
ENSG00000282898	0	0	0	0	0	0	0	0	1
ENSG00000285409	0	1	0	0	0	0	0	0	0
ENSG00000231090	2	1	0	2	3	6	7	13	12
ENSG00000117528	1839	1190	1711	1014	922	929	1622	1107	1185
ENSG00000271723	0	1	0	1	4	0	2	1	1
ENSG00000172339	273	159	287	178	190	154	295	220	247
ENSG00000036549	3468	2188	2952	1573	1711	1762	2396	2061	2272
ENSG00000287724	22	15	22	11	6	14	13	29	11
ENSG00000058799	210	133	239	84	86	94	116	129	140
ENSG00000225191	0	0	0	0	0	0	0	0	0
ENSG00000287870	19	14	20	23	31	34	76	48	60
ENSG00000232048	1	1	0	2	0	3	1	5	3
ENSG00000232857	1	1	0	1	3	3	3	3	5
ENSG00000273637	1	0	0	0	1	0	0	0	1
ENSG00000203985	0	0	0	2	4	1	1	1	3
ENSG00000228838	5	4	4	5	3	1	14	4	10
ENSG00000283761	55	47	67	73	53	81	113	75	94
ENSG00000189433	0	1	0	8	14	16	18	11	13
ENSG00000230759	0	0	0	0	0	0	0	1	0
ENSG00000179178	1	0	0	6	4	0	3	2	0
ENSG00000142700	7	10	17	12	19	15	16	18	19
ENSG00000285525	0	0	0	3	1	1	1	0	1
ENSG00000236098	0	0	0	0	0	0	0	0	0
ENSG00000233514	12	13	12	8	10	5	16	14	6
ENSG00000127124	76	98	62	67	74	70	126	83	116
ENSG00000266993	36	20	30	30	24	23	78	38	38
ENSG00000223675	1	0	0	3	3	2	3	6	2
ENSG00000229316	0	0	0	4	7	14	9	12	18
ENSG00000287406	7	9	18	73	52	53	99	58	61
ENSG00000225767	51	30	24	46	48	47	79	50	66
ENSG00000234099	0	0	0	14	8	6	5	10	9
ENSG00000137936	95	86	88	105	101	106	169	145	148
ENSG00000235308	8	5	6	5	9	13	10	11	8
ENSG00000232752	0	2	0	3	3	9	4	5	5
ENSG00000235829	3	1	5	4	7	3	9	3	10
ENSG00000143032	9	12	8	20	12	7	28	9	11
ENSG00000226745	0	0	1	1	0	1	2	1	1
ENSG00000280040	5	1	1	0	0	1	2	1	1
ENSG00000117519	2269	1675	2310	764	644	661	1526	990	1025
ENSG00000270507	0	1	2	3	1	0	2	1	2
ENSG00000238037	0	1	2	0	0	1	0	0	1
ENSG00000215869	0	0	0	0	1	0	0	0	0
ENSG00000134215	132	65	117	180	179	198	307	189	231
ENSG00000227935	0	2	3	1	2	5	5	5	4
ENSG00000228502	13	11	7	4	0	1	6	3	2
ENSG00000236268	3	1	9	17	20	21	25	17	23
ENSG00000271277	0	0	0	0	0	0	0	0	0
ENSG00000236888	1	2	2	1	1	0	1	1	1
ENSG00000279778	0	2	1	1	8	7	3	1	3
ENSG00000230828	0	0	0	0	0	1	0	0	0
ENSG00000188641	3	2	8	8	7	4	2	7	4
ENSG00000152078	503	302	588	291	259	249	437	316	340
ENSG00000233359	0	0	2	1	1	2	0	3	0
ENSG00000237954	0	1	0	1	0	2	0	0	1
ENSG00000171492	281	168	316	346	307	339	608	346	392
ENSG00000233129	0	0	0	9	6	6	2	4	10
ENSG00000170989	14	14	11	49	35	28	70	49	42
ENSG00000233557	0	0	0	0	0	0	0	0	0
ENSG00000237897	2	0	2	0	0	1	1	1	0
ENSG00000116299	27	28	30	100	124	147	135	155	182
ENSG00000137962	880	631	949	451	472	477	877	601	605
ENSG00000227832	0	0	0	0	1	2	0	0	0
ENSG00000286692	0	0	2	1	0	2	4	1	1
ENSG00000260464	8	2	7	4	1	2	10	6	8
ENSG00000237435	0	0	0	0	0	1	0	0	1
ENSG00000231996	0	0	0	3	0	2	2	0	1
ENSG00000273204	4	6	1	5	2	6	13	12	10
ENSG00000079739	787	572	772	491	443	445	1162	635	706
ENSG00000117154	1	4	3	0	1	1	1	0	1
ENSG00000162377	1039	816	850	610	526	587	1254	757	807
ENSG00000224613	1	0	3	5	1	0	3	6	4
ENSG00000215871	0	3	0	2	2	3	2	4	2
ENSG00000287372	1	1	2	32	26	21	30	41	23
ENSG00000232542	0	0	0	0	0	0	0	0	0
ENSG00000116774	4	5	3	5	5	6	7	7	10
ENSG00000287756	3	0	3	3	2	6	8	3	5
ENSG00000284652	0	0	0	0	0	0	2	1	4
ENSG00000023909	814	459	768	357	341	384	657	521	479
