GOID1	GOID2	CommonNum
GO:0002181	GO:2001242	2
GO:0002181	GO:0031647	2
GO:0002181	GO:0097190	2
GO:0002181	GO:0030162	3
GO:0002181	GO:0050821	2
GO:0002181	GO:0042255	13
GO:0002181	GO:0042176	2
GO:0002181	GO:0052547	1
GO:0002181	GO:0052548	1
GO:0022900	GO:0015980	51
GO:0022900	GO:0019646	41
GO:0022900	GO:0022904	48
GO:0022900	GO:0006091	62
GO:0022900	GO:0006457	1
GO:0022900	GO:1902600	14
GO:0022900	GO:2001233	5
GO:0022900	GO:2001242	4
GO:0022900	GO:0031647	2
GO:0022900	GO:0097190	5
GO:0022900	GO:0006120	23
GO:0022900	GO:0030162	5
GO:0022900	GO:2001234	5
GO:0022900	GO:0007005	24
GO:0022900	GO:0050821	2
GO:0022900	GO:0072594	3
GO:0022900	GO:0010498	2
GO:0022900	GO:2001243	4
GO:0022900	GO:0042176	3
GO:0022900	GO:0052547	5
GO:0022900	GO:0052548	4
GO:0015980	GO:0019646	41
GO:0015980	GO:0022904	48
GO:0015980	GO:0006091	85
GO:0015980	GO:0006457	4
GO:0015980	GO:1902600	25
GO:0015980	GO:2001233	10
GO:0015980	GO:2001242	6
GO:0015980	GO:0031647	4
GO:0015980	GO:0097190	11
GO:0015980	GO:0006120	23
GO:0015980	GO:0030162	8
GO:0015980	GO:2001234	9
GO:0015980	GO:0007005	29
GO:0015980	GO:0050821	4
GO:0015980	GO:0072594	2
GO:0015980	GO:0042255	1
GO:0015980	GO:0010498	5
GO:0015980	GO:2001243	6
GO:0015980	GO:0042176	4
GO:0015980	GO:0052547	7
GO:0015980	GO:0052548	6
GO:0019646	GO:0022904	41
GO:0019646	GO:0006091	41
GO:0019646	GO:1902600	12
GO:0019646	GO:2001233	2
GO:0019646	GO:2001242	2
GO:0019646	GO:0031647	2
GO:0019646	GO:0097190	2
GO:0019646	GO:0006120	23
GO:0019646	GO:0030162	3
GO:0019646	GO:2001234	2
GO:0019646	GO:0007005	20
GO:0019646	GO:0050821	2
GO:0019646	GO:0072594	1
GO:0019646	GO:0010498	2
GO:0019646	GO:2001243	2
GO:0019646	GO:0042176	2
GO:0019646	GO:0052547	3
GO:0019646	GO:0052548	2
GO:0022904	GO:0006091	48
GO:0022904	GO:1902600	12
GO:0022904	GO:2001233	4
GO:0022904	GO:2001242	3
GO:0022904	GO:0031647	2
GO:0022904	GO:0097190	4
GO:0022904	GO:0006120	23
GO:0022904	GO:0030162	4
GO:0022904	GO:2001234	4
GO:0022904	GO:0007005	23
GO:0022904	GO:0050821	2
GO:0022904	GO:0072594	2
GO:0022904	GO:0010498	2
GO:0022904	GO:2001243	3
GO:0022904	GO:0042176	2
GO:0022904	GO:0052547	4
