Mock_mean_up	NT_mean_up	T_mean_up	Check_Mock_NT_up	Check_Mock_T_up	Checkreverse
ENSG00000059804	-1.15101539332016	0.495678671518684	0.655336721801478	1	1	0
ENSG00000060140	-1.12909551207849	0.773969563531116	0.355125948547372	1	1	1
ENSG00000061455	-1.14846883380826	0.6779865413562	0.470482292452062	1	1	1
ENSG00000061656	-1.04000404638409	0.0854980673659238	0.954505979018162	1	1	0
ENSG00000064692	-1.15299013835471	0.522086378303594	0.630903760051112	1	1	0
ENSG00000066248	-1.13325296434474	0.374784648614392	0.758468315730352	1	1	0
ENSG00000066382	-1.15049383874638	0.660528483940052	0.489965354806323	1	1	1
ENSG00000068079	-1.1546857764872	0.582399387390088	0.572286389097109	1	1	1
ENSG00000068137	-1.14879308067148	0.675420514475544	0.473372566195935	1	1	1
ENSG00000068976	-1.15427108187705	0.54986463782199	0.604406444055059	1	1	0
ENSG00000069493	-1.09850034204982	0.857426660860406	0.24107368118941	1	1	1
ENSG00000070190	-1.14461465435355	0.704189736084589	0.440424918268961	1	1	1
ENSG00000070526	-1.12493503437504	0.788057579749517	0.33687745462552	1	1	1
ENSG00000071282	-1.06073019736753	0.925508852644879	0.13522134472265	1	1	1
ENSG00000073849	-1.12367303920144	0.792095451520512	0.331577587680932	1	1	1
ENSG00000075213	-1.11419442013538	0.819638817445228	0.294555602690157	1	1	1
ENSG00000075290	-1.11899506471477	0.806251526971422	0.312743537743353	1	1	1
ENSG00000077009	-1.13875747949591	0.403778159528312	0.734979319967603	1	1	0
ENSG00000077092	-1.14920875864476	0.477190716057787	0.672018042586973	1	1	0
ENSG00000077150	-1.15440922459168	0.554743387190621	0.599665837401059	1	1	0
ENSG00000077616	-1.15416734901762	0.607469491039347	0.546697857978274	1	1	1
ENSG00000077935	-1.05220669843095	0.937984154586131	0.114222543844819	1	1	1
ENSG00000077943	-1.15252345073357	0.637639829214097	0.514883621519471	1	1	1
ENSG00000078549	-1.11142549876983	0.284511679119386	0.826913819650448	1	1	0
ENSG00000079385	-1.13854877982847	0.735947744003389	0.40260103582508	1	1	1
ENSG00000079435	-1.15032406949423	0.488179844865038	0.662144224629189	1	1	0
ENSG00000080224	-1.15174584710212	0.647365075304048	0.504380771798068	1	1	1
ENSG00000080493	-1.0618445544757	0.923814891825768	0.138029662649929	1	1	1
ENSG00000080618	-1.15401883597256	0.611366290157676	0.542652545814885	1	1	1
ENSG00000081041	-0.971298235793482	-0.0551232952849524	1.02642153107843	1	1	0
ENSG00000081052	-1.13394842954779	0.755708735581776	0.378239693966011	1	1	1
ENSG00000081148	-1.11503849376753	0.817359328592658	0.297679165174868	1	1	1
ENSG00000081479	-1.15467235154261	0.584323338092172	0.570349013450437	1	1	1
ENSG00000081985	-1.14826101616355	0.468667343567905	0.67959367259565	1	1	0
ENSG00000083067	-1.10682518269364	0.838374889232685	0.268450293460955	1	1	1
ENSG00000083290	-1.15447419478895	0.597036091682335	0.557438103106611	1	1	1
ENSG00000086730	-1.14307622385504	0.713074537779601	0.430001686075435	1	1	1
ENSG00000087589	-1.15413657261443	0.608318547351794	0.54581802526264	1	1	1
ENSG00000088340	-1.15292670089147	0.521055618326193	0.631871082565278	1	1	0
ENSG00000089723	-1.13574127365049	0.38740230305149	0.748338970598998	1	1	0
ENSG00000089775	-0.995135984628186	1.00479405539994	-0.009658070771755	1	1	1
ENSG00000089820	-1.1264409648499	0.783102415586858	0.343338549263044	1	1	1
ENSG00000089847	-1.03356887168201	0.962656099683282	0.0709127719987307	1	1	1
ENSG00000091106	-1.10535542494595	0.841887045667672	0.263468379278276	1	1	1
ENSG00000091137	-1.12108411702614	0.800078698536663	0.321005418489475	1	1	1
ENSG00000091138	-1.08680165531911	0.881256745909814	0.205544909409301	1	1	1
ENSG00000091622	-1.1538860125635	0.539389011717533	0.614497000845967	1	1	0
ENSG00000091844	-1.15014367307956	0.663825137640582	0.48631853543898	1	1	1
ENSG00000091986	-1.14551534166479	0.446876967355095	0.698638374309701	1	1	0
ENSG00000092200	-1.13550559136827	0.386175569748299	0.749330021619967	1	1	0
ENSG00000092607	-1.07026800139089	0.91049356684377	0.159774434547122	1	1	1
ENSG00000092850	-1.12255227160398	0.32695307219628	0.795599199407696	1	1	0
ENSG00000092969	-1.11528082028393	0.816699320295814	0.298581499988118	1	1	1
ENSG00000095303	-1.14392329746201	0.70826871803679	0.435654579425219	1	1	1
ENSG00000095464	-1.137195015358	0.395131018743276	0.742063996614725	1	1	0
