Mock_mean_down	NT_mean_down	T_mean_down	Check_Mock_NT_down	Check_Mock_T_down	Checkreverse
ENSG00000005022	1.13598956350681	-0.747287234753249	-0.388702328753564	1	1	1
ENSG00000005059	1.09839327356934	-0.240734058125252	-0.857659215444089	1	1	0
ENSG00000005075	1.02960425494257	-0.967501043587848	-0.0621032113547269	1	1	1
ENSG00000005175	1.15453416569026	-0.594241922768381	-0.56029224292188	1	1	1
ENSG00000005194	1.15114488364835	-0.653988592186663	-0.497156291461685	1	1	1
ENSG00000005206	1.0889195552199	-0.877161824034026	-0.211757731185877	1	1	1
ENSG00000005339	1.14847872309133	-0.470569370926949	-0.677909352164379	1	1	0
ENSG00000005448	0.851809304228492	-1.10104588320766	0.249236578979165	1	1	1
ENSG00000005812	1.13009835011275	-0.359724336558126	-0.770374013554623	1	1	0
ENSG00000005882	1.08301815050376	-0.888357405591752	-0.194660744912012	1	1	1
ENSG00000005893	1.14251097236597	-0.716174458431352	-0.426336513934619	1	1	1
ENSG00000006007	1.14546567368771	-0.69895206201329	-0.446513611674419	1	1	1
ENSG00000006015	1.15466726424743	-0.584925183777317	-0.569742080470118	1	1	1
ENSG00000006042	1.15312320704802	-0.524310746827931	-0.628812460220085	1	1	0
ENSG00000006125	1.10538073009596	-0.841827151274475	-0.26355357882149	1	1	1
ENSG00000006128	1.10248651244647	-0.253934296712751	-0.848552215733723	1	1	0
ENSG00000006282	1.14734498610957	-0.460979937236219	-0.686365048873352	1	1	0
ENSG00000006327	1.15391986378311	-0.613725554082471	-0.540194309700634	1	1	1
ENSG00000006451	1.12312401279458	-0.329302800092876	-0.7938212127017	1	1	0
ENSG00000006625	1.1386995296113	-0.403450590765362	-0.735248938845939	1	1	0
ENSG00000006712	1.1390784431417	-0.733475871766621	-0.405602571375079	1	1	1
ENSG00000006744	1.14161322103284	-0.720938020195636	-0.420675200837204	1	1	1
ENSG00000006757	1.01365963955276	-0.985756329124453	-0.0279033104283023	1	1	1
ENSG00000006831	1.15468773216801	-0.582053524832364	-0.572634207335645	1	1	1
ENSG00000007080	1.03206179692022	-0.964513156195412	-0.0675486407248103	1	1	1
ENSG00000007168	1.1544951680655	-0.558388098751901	-0.596107069313599	1	1	0
ENSG00000007202	1.14115232520724	-0.723312955831642	-0.4178393693756	1	1	1
ENSG00000007255	1.13113519440419	-0.766564808588598	-0.364570385815588	1	1	1
ENSG00000007376	1.09236019432353	-0.870312638559722	-0.222047555763805	1	1	1
ENSG00000007402	1.08816554319096	-0.878629947579595	-0.209535595611361	1	1	1
ENSG00000007520	1.13051989743678	-0.768836890253141	-0.361683007183643	1	1	1
ENSG00000008018	1.14010601059415	-0.728541848612033	-0.41156416198212	1	1	1
ENSG00000008128	1.00379851194546	-0.00764081086323819	-0.996157701082225	1	1	0
ENSG00000008130	1.13970378525154	-0.730495788907221	-0.409207996344318	1	1	1
ENSG00000008256	0.924261606937029	-1.06155165850831	0.137290051571279	1	1	1
ENSG00000008283	1.10510440873348	-0.842480099451647	-0.262624309281835	1	1	1
ENSG00000008324	0.511962262261587	-1.15231866884468	0.640356406583097	1	0	1
ENSG00000008382	1.13535895451853	-0.74994311404933	-0.385415840469201	1	1	1
ENSG00000008394	1.15443515470289	-0.598655981899991	-0.555779172802899	1	1	1
ENSG00000008405	1.12022736505845	-0.31758948181795	-0.802637883240504	1	1	0
ENSG00000008710	1.10198900905087	-0.849683586931056	-0.252305422119813	1	1	1
ENSG00000008838	1.12191053708146	-0.797572174295975	-0.324338362785488	1	1	1
ENSG00000008952	1.14612977085642	-0.694678664530142	-0.451451106326281	1	1	1
ENSG00000008988	1.14743939420023	-0.685689011995156	-0.461750382205069	1	1	1
ENSG00000009307	1.15316985687526	-0.628057842632503	-0.525112014242762	1	1	1
ENSG00000009844	1.10428104393286	-0.259869189112999	-0.844411854819857	1	1	0
ENSG00000010165	1.15400075102332	-0.611809856665755	-0.542190894357561	1	1	1
ENSG00000010256	1.1241760203456	-0.79049818170626	-0.333677838639341	1	1	1
ENSG00000010278	1.1500600031959	-0.664592782856625	-0.485467220339272	1	1	1
ENSG00000010292	1.13522739252275	-0.750490910395608	-0.384736482127143	1	1	1
ENSG00000010404	1.08305852802626	-0.194775506063486	-0.88828302196277	1	1	0
ENSG00000010810	1.1458222594997	-0.696679107135962	-0.449143152363738	1	1	1
ENSG00000011009	1.07881628163901	-0.895942252585744	-0.182874029053262	1	1	1
ENSG00000011105	1.10654656546242	-0.839045961354441	-0.267500604107976	1	1	1
ENSG00000011260	1.14962680909931	-0.481172335300619	-0.668454473798693	1	1	0
ENSG00000011304	1.14909071366634	-0.672997877493341	-0.476092836172995	1	1	1
ENSG00000011426	1.15226462946388	-0.64105278734927	-0.511211842114606	1	1	1
ENSG00000011451	1.13836394960957	-0.736799511691518	-0.401564437918052	1	1	1
ENSG00000011478	0.949029775614595	-1.04416992706148	0.0951401514468836	1	1	1
ENSG00000011485	0.996261942598262	-1.00369660135892	0.00743465876065922	1	1	1
ENSG00000012061	0.883380564755496	-1.08568491229262	0.202304347537126	1	1	1
ENSG00000012211	1.09218448194464	-0.870668569513835	-0.221515912430805	1	1	1
ENSG00000012232	1.14931794092562	-0.67110171513478	-0.478216225790843	1	1	1
ENSG00000012660	1.15348454093753	-0.530861333647459	-0.622623207290072	1	1	0
ENSG00000012822	1.15427085620639	-0.604413494098304	-0.549857362108081	1	1	1
ENSG00000013275	1.12884208257315	-0.774865011166753	-0.353977071406401	1	1	1
ENSG00000013288	1.09107538035347	-0.218175679873301	-0.872899700480164	1	1	0
ENSG00000013306	1.11329355448852	-0.822039121050066	-0.291254433438451	1	1	1
ENSG00000013374	1.15352361516326	-0.53162366466994	-0.621899950493317	1	1	0
ENSG00000013375	1.15046234218045	-0.660830817225596	-0.489631524954856	1	1	1
ENSG00000013503	1.14614093670239	-0.694605298384489	-0.451535638317903	1	1	1
ENSG00000013583	1.13139878257994	-0.765580846363905	-0.365817936216034	1	1	1
ENSG00000013810	1.14344231966118	-0.711022079446727	-0.432420240214449	1	1	1
ENSG00000014164	0.44251246048072	-1.14491040889137	0.702397948410651	1	0	1
ENSG00000014216	1.14687935081082	-0.689632687298646	-0.457246663512169	1	1	1
ENSG00000014641	1.15382935485607	-0.615752351203803	-0.53807700365227	1	1	1
ENSG00000015475	1.12837676530223	-0.776495722713939	-0.351881042588295	1	1	1
ENSG00000017797	1.14083591847986	-0.724917329237551	-0.415918589242308	1	1	1
ENSG00000018510	1.15399768421817	-0.611884492659568	-0.542113191558599	1	1	1
ENSG00000018610	1.14223245305962	-0.717672589008739	-0.42455986405088	1	1	1
ENSG00000018699	1.15439664700081	-0.600139248611614	-0.554257398389199	1	1	1
ENSG00000018869	1.0682184340035	-0.913822309930255	-0.154396124073246	1	1	1
ENSG00000020129	1.09965956934509	-0.854889817552677	-0.244769751792415	1	1	1
ENSG00000021355	1.15424917220748	-0.549166826111881	-0.605082346095599	1	1	0
ENSG00000021574	1.13077037195335	-0.362854263808344	-0.767916108145009	1	1	0
ENSG00000021826	1.15262809318635	-0.516427828661227	-0.636200264525127	1	1	0
ENSG00000022267	1.14805992335472	-0.68112248844776	-0.466937434906958	1	1	1
ENSG00000022277	1.15227573018535	-0.511365330640468	-0.640910399544882	1	1	0
ENSG00000022567	1.1541575256512	-0.607743147492872	-0.546414378158329	1	1	1
ENSG00000022840	1.15451620822685	-0.595125496371853	-0.559390711855001	1	1	1
ENSG00000023191	0.991162713624208	-1.00860899382674	0.0174462802025325	1	1	1
ENSG00000023318	1.1524420172265	-0.513706628682028	-0.638735388544473	1	1	0
ENSG00000023572	0.935608374681749	-1.0538739160584	0.11826554137665	1	1	1
ENSG00000023734	1.14105737226513	-0.417260767442611	-0.723796604822517	1	1	0
