gene_id	CK0816_S1.htseq.count	CK0817_S2.htseq.count	CK0818_S3.htseq.count	CK0819_S4.htseq.count	CK0820_S5.htseq.count	CK0821_S6.htseq.count	CK0822_S7.htseq.count	CK0823_S8.htseq.count	CK0824_S9.htseq.count
ENSG00000011422	75	82	89	159	119	119	225	138	149
ENSG00000011426	6237	4436	5839	1980	1738	1831	3332	2745	2903
ENSG00000011451	794	1038	753	516	369	372	866	587	578
ENSG00000011454	2198	1890	1970	1895	1697	1716	2745	1968	2078
ENSG00000011465	0	0	0	4	1	3	7	5	3
ENSG00000011478	255	183	250	127	98	107	258	182	203
ENSG00000011485	1349	1108	1381	647	586	594	1421	953	1056
ENSG00000011523	1194	991	1231	972	967	890	1539	1400	1327
ENSG00000011566	1647	1063	1560	1487	1227	1367	2190	1397	1687
ENSG00000011590	31	19	29	24	23	34	45	59	60
ENSG00000011600	0	0	0	0	0	0	0	0	1
ENSG00000011638	84	75	111	99	92	47	208	143	133
ENSG00000011677	115	104	154	122	89	85	172	98	99
ENSG00000012048	4792	3774	5570	3993	4183	4086	7559	5642	5826
ENSG00000012061	493	320	505	220	204	249	486	402	356
ENSG00000012124	6	0	1	1	0	2	4	6	4
ENSG00000012171	59	88	145	198	240	255	365	272	358
ENSG00000012174	966	737	1021	697	587	530	1248	788	823
ENSG00000012211	131	159	134	73	55	61	170	105	115
ENSG00000012223	0	0	1	1	3	2	2	12	12
ENSG00000012232	954	835	1018	676	442	519	1047	679	793
ENSG00000012504	1	1	3	16	12	22	19	23	23
ENSG00000012660	3083	1711	2732	1368	1419	1314	2550	1725	1784
ENSG00000012779	25	21	27	29	25	31	37	28	19
ENSG00000012817	0	0	0	0	0	0	0	0	0
ENSG00000012822	669	658	947	325	352	351	597	490	462
ENSG00000012963	1607	984	1629	912	845	865	1405	1043	1118
ENSG00000012983	2452	1449	2384	1464	1391	1467	2530	1700	1936
ENSG00000013016	179	157	203	150	86	108	228	173	190
ENSG00000013275	1807	1237	1691	731	689	648	1384	1009	1172
ENSG00000013288	567	513	677	316	338	297	491	422	382
ENSG00000013293	2	1	2	8	10	16	16	27	19
ENSG00000013297	9	8	3	13	15	13	24	43	18
ENSG00000013306	1795	1217	1943	878	675	750	1721	1023	1289
ENSG00000013364	66	74	78	115	142	169	307	220	249
ENSG00000013374	2823	1799	2913	1486	1411	1382	2866	1877	1731
ENSG00000013375	3426	1899	3211	1501	1411	1395	2809	1973	1990
ENSG00000013392	234	197	285	178	215	230	319	306	242
ENSG00000013441	4367	2470	3733	2721	2936	2711	4207	3566	3428
ENSG00000013503	1138	701	1125	545	503	494	794	771	821
ENSG00000013523	1060	738	991	650	572	586	1179	707	844
ENSG00000013561	1442	982	1656	860	703	857	1520	1012	1134
ENSG00000013563	167	123	312	128	141	144	288	223	187
ENSG00000013573	2799	2236	2598	2448	1942	2037	5132	3003	3297
ENSG00000013583	171	190	162	113	101	95	223	122	149
ENSG00000013588	172	270	165	202	189	144	478	310	266
ENSG00000013619	51	82	65	45	50	31	66	59	60
ENSG00000013725	1	3	2	14	18	12	12	11	5
ENSG00000013810	2766	2853	2814	1084	1021	957	2130	1548	1622
ENSG00000014123	1337	867	1682	966	942	920	1810	1220	1241
ENSG00000014138	763	733	914	1106	849	764	2029	1163	1159
ENSG00000014164	183	198	219	137	95	103	238	202	227
ENSG00000014216	817	742	902	282	234	330	610	378	495
ENSG00000014257	15	16	19	39	43	45	36	85	66
ENSG00000014641	3731	2243	4782	1221	1135	1117	2570	1466	1576
ENSG00000014824	4004	2295	4292	2060	2075	2170	3325	2528	2662
ENSG00000014914	177	163	163	249	314	248	356	270	317
ENSG00000014919	1221	920	1329	903	749	850	1417	1067	1094
ENSG00000015133	412	358	387	370	388	408	595	408	521
ENSG00000015153	1208	928	1365	857	842	952	1300	1174	1208
ENSG00000015171	1682	1291	1831	915	938	1023	1212	1299	1256
ENSG00000015285	2	6	10	17	18	10	42	24	26
ENSG00000015413	10	8	4	35	35	39	26	48	41
ENSG00000015475	604	404	630	195	228	204	452	343	367
ENSG00000015479	1943	1263	1425	1272	1279	1137	2408	1697	1791
